ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,
0.05566406,1.05957,0.2172852,0.5419922,-0.7739258,1.163574,-15,9,20,-5,-6,2,1,-9,-1,-2,4,-6,6,11,1,-1,-1.375,-1.375,-1.375,-6.25,-6.25,-6.25,6.671352,5.025294,0.1626528,3.694259,4.978299,5.114327,,,,,,,,,,
0.05566406,1.05957,0.2172852,0.5419922,-0.7739258,1.163574,-15,9,20,-5,-6,2,1,-9,-1,-2,4,-6,6,11,1,-1,-1.375,-1.375,-1.375,-6.25,-6.25,-6.25,6.671352,5.025294,0.1626528,3.694259,4.978299,5.114327,,,,,,,,,,
0.1640625,0.612793,0.9365234,0.01220703,-0.9492188,0.9658203,3,0,-3,-4,0,-3,-7,0,-2,-4,1,-2,-3,-2,3,-2,-6.5625,-6.5625,-6.5625,0.75,0.75,0.75,6.647998,5.037743,0.1442677,3.704116,5.002342,5.110933,,,,,,,,,,
-0.3823242,0.7431641,0.1186523,-0.2246094,-0.5219727,0.3339844,0,10,11,10,12,30,14,10,0,-1,2,-1,-3,-5,0,1,-0.75,-0.75,-0.75,0.125,0.125,0.125,6.657797,5.065085,0.129165,3.69015,5.082235,5.115977,,,,,,,,,,
-0.0859375,0.7705078,0.5429688,-0.6899414,-0.8251953,-0.0234375,3,5,6,10,-13,-32,-59,1,-3,-1,-2,7,7,9,0,-1,8.9375,8.9375,8.9375,-22.0625,-22.0625,-22.0625,6.67221,5.055536,0.08361651,3.653995,5.124734,5.132612,,,,,,,,,,
0.1264648,0.7182617,0.6079102,-0.3955078,-0.6728516,0.2290039,-2,2,4,-41,9,-8,11,6,0,1,2,2,4,-9,-7,2,33.25,33.25,33.25,-1.3125,-1.3125,-1.3125,6.683694,5.025688,0.05731705,3.645594,5.135886,5.146651,,,,,,,,,,
0.02099609,0.9174805,0.5336914,0.5307617,-0.5478516,1.192383,-2,5,2,-12,17,-7,-15,11,-3,-2,3,0,1,-3,-3,-1,98,98,98,-19.1875,-19.1875,-19.1875,6.736001,5.016308,0.04465894,3.643258,5.126753,5.161431,,,,,,,,,,
0.2294922,1.085449,0.4946289,-0.5288086,-0.8066406,-0.05957031,-10,-11,-7,-9,16,1,-7,-32,2,-2,0,1,-1,-6,-2,-1,-19.75,-19.75,-19.75,-21.125,-21.125,-21.125,6.821077,4.971305,0.08366207,3.609055,5.131454,5.173741,,,,,,,,,,
-0.01367188,0.7724609,0.5136719,-0.1479492,-0.8227539,0.8691406,21,42,12,7,8,1,8,8,-1,0,-5,-8,7,6,-5,-3,-32.25,-32.25,-32.25,-15.5,-15.5,-15.5,6.772912,4.957716,0.1501972,3.57907,5.133208,5.181726,,,,,,,,,,
-0.01855469,0.8676758,0.5361328,0.001464844,-0.737793,0.706543,9,-2,-7,3,4,2,1,11,-3,0,-5,-2,-8,-10,0,-3,-39.0625,-39.0625,-39.0625,-10.4375,-10.4375,-10.4375,6.747081,4.958262,0.1766075,3.575891,5.102129,5.187037,,,,,,,,,,
