ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,,,,
-0.03564453,0.8530273,0.5014648,-0.1118164,-0.7885742,0.6010742,-50,-16,37,1,-1,-6,-21,-6,-3,-3,-1,14,-1,-4,2,0,-34.75,-34.75,-34.75,-10.6875,-10.6875,-10.6875,6.795582,5.12008,9.223032,3.501456,5.255865,5.052558,,,,,,,,,,,,,,
-0.1000977,0.9248047,0.5107422,-0.1176758,-0.8027344,0.621582,-2,-16,-16,-7,9,-3,-2,1,-2,0,0,-12,-1,-14,-4,-2,-48.9375,-48.9375,-48.9375,-6.9375,-6.9375,-6.9375,6.768864,5.120567,9.253701,3.496844,5.241997,5.060835,,,,,,,,,,,,,,
-0.2700195,0.8950195,0.5151367,-0.125,-0.7915039,0.6289063,-5,-5,6,7,9,4,-2,-15,-1,-2,4,4,4,4,-1,0,-74.1875,-74.1875,-74.1875,-2.0625,-2.0625,-2.0625,6.649066,5.182461,9.294179,3.49714,5.2298,5.061814,,,,,,,,,,,,,,
-0.2524414,0.7773438,0.4916992,-0.1611328,-0.8168945,0.628418,2,15,1,-6,-2,-2,-5,-2,-2,-1,3,-7,1,8,2,-2,-26.875,-26.875,-26.875,2.8125,2.8125,2.8125,6.597837,5.253742,9.263882,3.501098,5.222615,5.056302,,,,,,,,,,,,,,
-0.2011719,0.7924805,0.4301758,-0.1762695,-0.8212891,0.6010742,-1,0,5,-12,-53,-19,5,3,-1,-2,-3,-1,5,11,1,3,-1.875,-1.875,-1.875,7.5,7.5,7.5,6.587504,5.301631,9.21282,3.508594,5.225062,5.051157,,,,,,,,,,,,,,
-0.277832,0.8300781,0.3535156,-0.1948242,-0.8178711,0.5825195,3,-22,3,1,-6,6,7,-6,0,-2,0,3,-2,4,3,1,53.3125,53.3125,53.3125,4.9375,4.9375,4.9375,6.616698,5.335502,9.157645,3.513357,5.234979,5.046674,,,,,,,,,,,,,,
0.05761719,0.9863281,0.5390625,-0.1777344,-0.8222656,0.5771484,10,11,2,-10,8,-2,3,6,-1,-2,-4,-7,-10,-11,1,1,67.25,67.25,67.25,5.375,5.375,5.375,6.699953,5.319266,9.119484,3.517157,5.244507,5.045207,,,,,,,,,,,,,,
-0.04785156,1.084961,0.5141602,-0.1044922,-0.7890625,0.5952148,-10,11,4,12,47,5,3,1,-3,-4,0,-3,-10,-12,1,0,3.6875,3.6875,3.6875,-3.5625,-3.5625,-3.5625,6.706459,5.299519,9.128832,3.515625,5.248383,5.049704,,,,,,,,,,,,,,
-0.2451172,0.7802734,0.5043945,-0.1137695,-0.8745117,0.6279297,-2,-24,-1,-3,6,3,3,-1,0,-1,-4,-3,1,3,2,0,5.75,5.75,5.75,4.625,4.625,4.625,6.676895,5.260743,9.170449,3.515887,5.249175,5.053467,,,,,,,,,,,,,,
-0.2373047,0.9155273,0.4936523,-0.1547852,-0.7739258,0.5888672,-5,-9,-7,-32,-7,-1,-3,-3,0,0,1,2,-1,-2,2,-1,-3.8125,-3.8125,-3.8125,-2.125,-2.125,-2.125,6.682685,5.252543,9.180202,3.520202,5.252865,5.057386,,,,,,,,,,,,,,
