ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,
-0.1181641,0.8120117,0.5297852,-0.03710938,-0.8242188,0.6621094,-2,1,-4,-2,2,0,4,1,-2,-5,-9,-11,-8,-7,-3,-3,-11.6875,-11.6875,-11.6875,-5.5,-5.5,-5.5,6.636784,5.111027,9.257436,3.562938,5.092353,5.083101,,,,,,,,,,,
-0.1601563,0.7963867,0.5214844,-0.1108398,-0.7871094,0.6328125,3,4,4,8,-20,-8,-3,-2,2,1,-5,-7,4,2,-3,-1,-2.6875,-2.6875,-2.6875,10.6875,10.6875,10.6875,6.633644,5.117833,9.255277,3.57552,5.092333,5.074691,,,,,,,,,,,
-0.1601563,0.7963867,0.5214844,-0.1108398,-0.7871094,0.6328125,3,4,4,8,-20,-8,-3,-2,2,1,-5,-7,4,2,-3,-1,-2.6875,-2.6875,-2.6875,10.6875,10.6875,10.6875,6.633644,5.117833,9.255277,3.57552,5.092333,5.074691,,,,,,,,,,,
-0.1191406,0.7626953,0.8154297,-0.1152344,-0.7900391,0.6342773,-2,-14,-3,-1,5,-1,4,1,-2,-1,-2,-10,-8,-5,0,1,-7.625,-7.625,-7.625,5.1875,5.1875,5.1875,6.645241,5.135258,9.234574,3.580251,5.100625,5.071681,,,,,,,,,,,
0.3071289,1.016113,0.3745117,-0.2192383,-0.8320313,0.6323242,-9,-15,-9,-14,5,0,4,7,-1,-1,-4,-5,-3,-3,2,2,-8.8125,-8.8125,-8.8125,3,3,3,6.649076,5.11462,9.204879,3.58112,5.12182,5.06697,,,,,,,,,,,
-0.1323242,0.6811523,0.5595703,-0.1582031,-0.7666016,0.6142578,6,14,7,7,2,-1,8,16,-2,-2,-3,-3,-1,5,-1,-3,8.3125,8.3125,8.3125,0.875,0.875,0.875,6.641621,5.097234,9.181151,3.583551,5.145774,5.067267,,,,,,,,,,,
-0.159668,0.8393555,0.4780273,-0.15625,-0.793457,0.6230469,1,4,9,4,7,-47,0,16,-2,0,2,1,1,0,-2,-3,29.625,29.625,29.625,-7.0625,-7.0625,-7.0625,6.672142,5.080386,9.178663,3.5767,5.173347,5.066135,,,,,,,,,,,
-0.04052734,0.7451172,0.3525391,-0.159668,-0.7919922,0.5991211,1,7,2,-8,-53,-10,-17,2,0,-3,-4,-9,-3,3,-3,-1,6.75,6.75,6.75,0.5625,0.5625,0.5625,6.680739,5.019586,9.18476,3.573537,5.196565,5.066082,,,,,,,,,,,
0.2861328,1.080566,0.5229492,-0.1176758,-0.7597656,0.6147461,8,13,13,-41,-19,-8,0,-2,-3,-3,-6,-3,0,-6,-4,-5,133.6875,133.6875,133.6875,-11.4375,-11.4375,-11.4375,6.801613,4.957345,9.174937,3.566053,5.207771,5.074146,,,,,,,,,,,
0.1772461,1.253906,0.5253906,-0.08886719,-0.7910156,0.6030273,7,-3,5,-33,-32,3,20,8,2,0,-4,-6,0,3,-3,-2,5.9375,5.9375,5.9375,-12.5625,-12.5625,-12.5625,6.853156,4.920898,9.212247,3.552183,5.205559,5.085749,,,,,,,,,,,
0.02001953,0.8417969,0.4858398,-0.09960938,-0.8022461,0.6176758,-11,-22,9,-13,-14,-2,-6,-9,-2,-2,-1,-8,1,4,6,3,-46.625,-46.625,-46.625,-4.6875,-4.6875,-4.6875,6.798601,4.92197,9.272326,3.546515,5.196674,5.098281,,,,,,,,,,,
-0.1020508,0.8564453,0.5268555,-0.1005859,-0.7382813,0.6254883,19,-16,-6,8,1,-2,-1,13,-3,-1,5,10,3,11,1,0,-51.875,-51.875,-51.875,-2.8125,-2.8125,-2.8125,6.734413,4.945627,9.334313,3.548099,5.184046,5.105402,,,,,,,,,,,
-0.2685547,0.8696289,0.5727539,-0.1000977,-0.8007813,0.6518555,-8,-37,-24,4,-3,-1,0,6,-1,0,1,-7,-6,-7,0,3,-67.4375,-67.4375,-67.4375,-9.5625,-9.5625,-9.5625,6.657767,4.999045,9.371692,3.54063,5.170012,5.10592,,,,,,,,,,,
-0.2602539,0.7436523,0.5141602,-0.1132813,-0.7963867,0.6582031,5,6,-1,1,3,0,0,-17,-1,1,-1,3,5,8,5,2,-45.6875,-45.6875,-45.6875,6.5625,6.5625,6.5625,6.592885,5.078247,9.358056,3.5452,5.161699,5.10148,,,,,,,,,,,
-0.2001953,0.7661133,0.4589844,-0.1494141,-0.7890625,0.6264648,1,-2,-8,4,23,9,3,-3,-1,0,-6,-6,-4,-1,3,2,-1,-1,-1,5.8125,5.8125,5.8125,6.580209,5.137288,9.306013,3.553462,5.165751,5.095243,,,,,,,,,,,
-0.1958008,0.8354492,0.3974609,-0.1723633,-0.8164063,0.6279297,-6,9,5,-1,57,18,5,-2,0,-2,0,-2,-2,5,2,0,29.75,29.75,29.75,6.1875,6.1875,6.1875,6.597533,5.169435,9.240017,3.558702,5.176439,5.090255,,,,,,,,,,,
0.1235352,0.9545898,0.5498047,-0.1513672,-0.8027344,0.6040039,2,-40,-15,-8,-23,0,8,0,1,-2,-1,-4,-4,2,-1,-5,71.4375,71.4375,71.4375,6.875,6.875,6.875,6.68012,5.161176,9.185066,3.565387,5.186275,5.089466,,,,,,,,,,,
-0.02197266,0.8759766,0.546875,-0.09521484,-0.793457,0.6142578,-3,22,6,-13,24,1,6,-12,0,0,1,5,6,2,1,0,-30.3125,-30.3125,-30.3125,-3.5625,-3.5625,-3.5625,6.669732,5.125303,9.201432,3.563202,5.191082,5.093317,,,,,,,,,,,
-0.1538086,0.7919922,0.5732422,-0.1088867,-0.8364258,0.6616211,1,3,-2,11,0,1,2,14,0,2,-3,-2,0,7,-5,3,4.5625,4.5625,4.5625,3.375,3.375,3.375,6.652891,5.102739,9.224873,3.563882,5.194262,5.103949,,,,,,,,,,,
-0.1772461,0.8862305,0.5180664,-0.125,-0.734375,0.6166992,1,25,-7,-8,-16,-2,-2,-4,0,-2,-6,-8,-6,-3,1,0,-6.8125,-6.8125,-6.8125,2,2,2,6.653831,5.098132,9.232072,3.572546,5.199593,5.108054,,,,,,,,,,,
-0.1831055,0.8427734,0.5161133,-0.1567383,-0.7783203,0.6240234,11,1,0,9,-6,-1,3,2,-1,0,2,-1,-1,0,-3,-3,1.4375,1.4375,1.4375,-8.5,-8.5,-8.5,6.649495,5.100497,9.23122,3.563042,5.202824,5.104106,,,,,,,,,,,
-0.1342773,0.8828125,0.5351563,-0.1777344,-0.7856445,0.6269531,-2,-21,-4,10,-7,-5,4,-2,1,1,3,-6,-10,-8,2,0,-3.8125,-3.8125,-3.8125,5.75,5.75,5.75,6.647879,5.105453,9.224609,3.565375,5.202374,5.098587,,,,,,,,,,,
-0.1118164,0.8334961,0.53125,-0.1645508,-0.7529297,0.5908203,1,3,2,-6,38,1,2,1,0,-4,-5,-5,-5,-3,0,-4,-2.0625,-2.0625,-2.0625,-1,-1,-1,6.641018,5.111634,9.221447,3.56834,5.201204,5.101456,,,,,,,,,,,
-0.08984375,0.9179688,0.5556641,-0.09521484,-0.8359375,0.6582031,-3,-4,-4,-67,40,11,2,-9,0,-1,-4,-6,0,-1,2,-1,-0.4375,-0.4375,-0.4375,-9.75,-9.75,-9.75,6.643017,5.116005,9.219591,3.557074,5.191497,5.105834,,,,,,,,,,,
-0.1020508,0.878418,0.5317383,-0.08496094,-0.7993164,0.6811523,1,1,2,17,2,2,-2,-1,0,-1,1,3,0,-1,-3,0,-6.1875,-6.1875,-6.1875,9.6875,9.6875,9.6875,6.63484,5.125089,9.217847,3.564755,5.185202,5.109436,,,,,,,,,,,
-0.1367188,0.8881836,0.4770508,-0.1381836,-0.762207,0.5844727,1,-6,-15,-1,-10,-9,-2,-1,-1,-3,-4,-1,3,7,3,-1,4.6875,4.6875,4.6875,0.4375,0.4375,0.4375,6.639685,5.13473,9.214067,3.571949,5.187476,5.110157,,,,,,,,,,,
-0.1035156,0.8227539,0.512207,-0.09863281,-0.8164063,0.6425781,-2,-1,1,-13,-7,-7,-16,1,-1,-1,0,-3,-1,-7,-7,-1,-3.6875,-3.6875,-3.6875,-2.1875,-2.1875,-2.1875,6.638201,5.135105,9.207531,3.56548,5.181896,5.107172,,,,,,,,,,,
-0.1035156,0.8427734,0.5317383,-0.1103516,-0.7539063,0.6181641,0,-2,0,34,-9,-3,3,-4,2,0,-1,-1,-3,-4,-3,-2,3.875,3.875,3.875,9.625,9.625,9.625,6.639156,5.133608,9.199409,3.574702,5.173757,5.100854,,,,,,,,,,,
-0.08251953,0.7890625,0.5532227,-0.07910156,-0.7456055,0.6254883,0,-6,-2,13,-4,-3,-3,-2,-1,-2,-2,0,-3,-9,-24,-2,-8.875,-8.875,-8.875,-0.75,-0.75,-0.75,6.625969,5.120316,9.18975,3.578429,5.15966,5.098442,,,,,,,,,,,
-0.0703125,0.7553711,0.6083984,-0.02490234,-0.7558594,0.6088867,0,-1,0,0,2,-1,1,1,0,0,-8,-3,-1,5,26,0,-9.375,-9.375,-9.375,7.125,7.125,7.125,6.616019,5.112823,9.187129,3.583095,5.130898,5.097849,,,,,,,,,,,
-0.2353516,0.8720703,0.1806641,-0.05126953,-0.6391602,0.5571289,0,-2,-3,-3,-5,-2,-2,-5,11,-18,-8,-8,1,4,27,7,-6,-6,-6,9.75,9.75,9.75,6.605582,5.087511,9.177736,3.597303,5.079211,5.110508,,,,,,,,,,,
-0.03076172,0.6489258,0.5112305,-0.03857422,-0.6357422,0.5371094,-5,-1,0,-1,-1,-6,0,1,-4,22,17,38,0,-1,5,-2,-17.375,-17.375,-17.375,-5.875,-5.875,-5.875,6.565098,5.038211,9.146526,3.597495,4.993851,5.146001,,,,,,,,,,,
-0.01025391,0.6381836,0.4345703,0.1137695,-0.7807617,0.5561523,-14,-1,-2,-2,-4,-5,1,-3,-4,-4,0,-8,-1,-1,10,-1,-4.9375,-4.9375,-4.9375,-16.6875,-16.6875,-16.6875,6.554893,4.921319,9.103469,3.570739,4.873485,5.211015,,,,,,,,,,,
0.1416016,0.7021484,0.4819336,0.01708984,-0.7104492,0.4814453,11,7,15,-9,0,6,1,-2,1,-4,5,4,6,2,-3,1,-10,-10,-10,12.5625,12.5625,12.5625,6.551228,4.745672,9.064676,3.567235,4.724782,5.286935,,,,,,,,,,,
0.3100586,0.7519531,0.4272461,0.4155273,-0.7045898,0.5356445,-2,-1,-2,2,-6,-2,-3,-1,1,0,-6,-6,-6,2,1,-2,20.4375,20.4375,20.4375,-39.125,-39.125,-39.125,6.579545,4.427906,8.977096,3.499841,4.427543,5.407319,,,,,,,,,,,
0.5073242,0.7446289,0.5244141,0.3994141,-0.7026367,0.4541016,-4,-5,0,5,1,-4,-2,-10,-1,0,2,-3,0,0,-4,-3,20.5625,20.5625,20.5625,-29.5625,-29.5625,-29.5625,6.601538,4.312451,8.948481,3.434934,4.213313,5.475308,,,,,,,,,,,
0.4375,0.6855469,0.4619141,0.6796875,-0.5849609,0.3569336,-8,-2,-1,-3,0,3,-1,0,-6,-7,7,-3,-5,-1,1,-1,-6.8125,-6.8125,-6.8125,-43.5625,-43.5625,-43.5625,6.622635,4.083622,8.901175,3.352543,3.972669,5.54656,,,,,,,,,,,
0.6396484,0.5180664,0.3847656,0.8168945,-0.5869141,0.3701172,17,1,-1,1,1,4,5,5,-1,3,3,-4,1,1,-3,-2,28.9375,28.9375,28.9375,-44.25,-44.25,-44.25,6.67461,3.827317,8.839408,3.25057,3.729554,5.625803,,,,,,,,,,,
