ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.159668,0.7739258,0.6103516,-0.08056641,-0.7978516,0.5307617,-5,0,-15,-4,1,0,-2,-1,3,0,2,0,-8,-3,4,13,-3.75,-3.75,-3.75,-6.3125,-6.3125,-6.3125,6.424068,5.240765,2.109891,3.366154,5.209218,5.184802,-0.007626255,-0.005927194,1.447465,0.1284605,0.005151013,1.420804,0.06971566,0.4212804,1.661053,-0.018576,-0.01650748,1.399888,0.09053139,-0.009994663,1.5065,0.06154397,-0.06386237,1.672702,0.0616615,-0.3853347,1.649231,-0.1177111,0.1238592,1.668891,-0.01373676,-0.3757902,1.616986,-0.2126222,-0.07939687,1.636723,0.3092907,-0.09724097,1.609594,NA,NA,NotTracked,NotTracked
-0.1420898,0.7548828,0.6166992,-0.06738281,-0.8505859,0.550293,-1,-25,-6,0,2,0,-2,-5,-15,17,9,76,10,3,4,15,-2.75,-2.75,-2.75,-13.625,-13.625,-13.625,6.416166,5.251147,2.093247,3.359981,5.203311,5.186369,-0.007676195,-0.006704159,1.446849,0.1255036,0.007992574,1.420726,0.06970463,0.4213609,1.661535,-0.02598055,-0.005439392,1.40698,0.07951818,-0.003709102,1.5,0.06148607,-0.06384615,1.672806,0.0615718,-0.3853382,1.649287,-0.1176123,0.1239691,1.66896,-0.01382801,-0.37578,1.617129,-0.212631,-0.07903924,1.634272,0.3090133,-0.09716208,1.608941,NA,NA,NotTracked,NotTracked
-0.1962891,0.8330078,0.6259766,-0.1665039,-0.9428711,0.5341797,-4,-8,1,2,1,-1,1,5,-10,-10,-15,32,13,2,-4,-5,4.5,4.5,4.5,-7.375,-7.375,-7.375,6.419526,5.257545,2.085451,3.350333,5.1867,5.184708,0.09904106,0.01798401,1.414849,0.1508543,-0.001544222,1.418918,0.07001071,0.421561,1.662719,0.09116632,0.04251711,1.403574,0.1363299,-0.02116343,1.4031,0.06131444,-0.06384042,1.673033,0.06146446,-0.3853648,1.649338,-0.1173747,0.1241624,1.669076,-0.01392835,-0.3758122,1.617304,-0.2121108,-0.07868361,1.631181,0.3086258,-0.09713881,1.608663,NA,NA,NotTracked,NotTracked
-0.2143555,0.8344727,0.6679688,-0.2133789,-0.8510742,0.4179688,1,27,11,10,0,-3,-1,-2,-6,-17,-10,-9,-6,-5,-1,-7,-10.625,-10.625,-10.625,-24.625,-24.625,-24.625,6.413626,5.261923,2.082973,3.328888,5.174006,5.188108,-0.006757078,-0.02397014,1.432916,0.1315199,0.01216576,1.418167,0.07022929,0.4217677,1.663309,-0.01787792,-0.013378,1.3936,0.06811883,-0.01484741,1.440077,0.06129432,-0.06383084,1.673115,0.06145313,-0.3853666,1.649361,-0.1172469,0.1242801,1.669079,-0.01393951,-0.3758252,1.61736,-0.212344,-0.07832483,1.630502,0.3083737,-0.09709969,1.608291,NA,NA,NotTracked,NotTracked
-0.2729492,0.6972656,0.6103516,-0.08154297,-0.9472656,0.4790039,-9,-23,-4,-2,5,3,-3,0,2,-6,-9,-25,-4,-11,-1,-2,-14.125,-14.125,-14.125,-41.9375,-41.9375,-41.9375,6.39101,5.277682,2.07237,3.279432,5.157968,5.201035,-0.02142964,-0.03416121,1.443235,0.130692,0.01218109,1.418501,0.07033645,0.4218284,1.663936,-0.02408523,-0.04908236,1.395849,0.0553117,-0.04355191,1.429269,0.06127827,-0.06383211,1.673174,0.06144213,-0.3853816,1.649372,-0.1172376,0.1243452,1.669144,-0.01396239,-0.3758686,1.617419,-0.2133029,-0.07766832,1.62941,0.3082507,-0.09700104,1.608151,NA,NA,NotTracked,NotTracked
-0.2675781,0.7792969,0.6025391,-0.09033203,-0.8525391,0.6259766,0,7,-2,1,-2,-2,-2,-1,0,-3,-12,-10,-6,-2,6,-9,18.25,18.25,18.25,15.875,15.875,15.875,6.40679,5.291616,2.044442,3.291139,5.128324,5.170633,-0.02353202,-0.03989117,1.450804,0.1378213,0.01540611,1.411242,0.07035783,0.4218125,1.664018,-0.01605934,-0.000460519,1.526182,0.0866573,0.0106778,1.4252,0.06127786,-0.06383798,1.673248,0.06148003,-0.3854131,1.649377,-0.1172175,0.124451,1.669217,-0.01391685,-0.3759269,1.61746,-0.2690049,-0.06912005,1.6192,0.3079883,-0.09698478,1.607979,NA,NA,NotTracked,NotTracked
-0.2133789,0.7724609,0.6079102,-0.1948242,-0.8920898,0.5551758,1,-4,-2,-12,0,1,3,-1,10,2,-6,-6,3,12,17,7,14.75,14.75,14.75,18.3125,18.3125,18.3125,6.41368,5.287293,2.03422,3.313897,5.148528,5.133952,0.05091919,-0.01661283,1.429762,0.1494375,0.007448503,1.40534,0.07048372,0.4218768,1.664066,0.1027368,0.03891755,1.379933,0.134308,-0.01232308,1.391122,0.06124758,-0.06387356,1.673329,0.06144478,-0.3855402,1.649413,-0.1172053,0.124518,1.669251,-0.01395627,-0.3760832,1.617585,-0.2211993,-0.07250504,1.622369,0.3080209,-0.09688818,1.607614,NA,NA,NotTracked,NotTracked
-0.1386719,0.734375,0.6572266,-0.2460938,-0.878418,0.5273438,-2,7,-5,-9,-8,-2,0,-5,-4,-2,1,5,9,25,14,1,5.3125,5.3125,5.3125,20.9375,20.9375,20.9375,6.417006,5.266891,2.024983,3.325098,5.173125,5.121526,0.03316588,-0.0104487,1.447999,0.1481051,0.001964377,1.399823,0.07094494,0.4220781,1.6645,-0.03348245,-0.000616412,1.4437,0.1267781,-0.01880288,1.3934,0.06121033,-0.06389728,1.673448,0.06139789,-0.3855984,1.649452,-0.1171383,0.1246416,1.66934,-0.01401885,-0.3762165,1.617715,-0.2217532,-0.07205772,1.622522,0.3078529,-0.09658844,1.606822,NA,NA,NotTracked,NotTracked
-0.1435547,0.7216797,0.6660156,-0.2363281,-0.8173828,0.456543,-8,-21,-1,-10,-6,-4,-2,-2,4,-1,-4,0,1,2,-8,-4,10.5,10.5,10.5,16.25,16.25,16.25,6.420114,5.255383,2.024709,3.344703,5.235659,5.115669,0.004230807,-0.008650986,1.478233,0.1364804,0.001991822,1.398978,0.07108076,0.4221194,1.664652,-0.0406593,-0.01748675,1.441821,0.1143953,-0.02177287,1.404778,0.06117913,-0.06388338,1.67353,0.06137135,-0.385599,1.649487,-0.117101,0.1247087,1.66937,-0.0140348,-0.3762218,1.61776,-0.2217112,-0.07200222,1.622607,0.3079488,-0.09650933,1.606583,NA,NA,NotTracked,NotTracked
-0.1645508,0.7900391,0.6621094,-0.1953125,-0.7905273,0.4555664,-2,10,-20,-4,-1,-3,-3,-3,6,6,25,59,8,7,4,3,-1.875,-1.875,-1.875,2.375,2.375,2.375,6.432861,5.22695,2.031354,3.352397,5.294691,5.138844,0.05411958,0.006935074,1.439254,0.1410282,-0.005618329,1.402125,0.07135285,0.4220279,1.665001,0.09113593,-0.01757949,1.387909,0.08678212,-0.01298775,1.396417,0.06117484,-0.0638593,1.67364,0.06136265,-0.3855674,1.649542,-0.1171188,0.1248167,1.66946,-0.01403403,-0.3761902,1.617906,-0.2217934,-0.07173445,1.621884,0.3076798,-0.09657534,1.606523,NA,NA,NotTracked,NotTracked
