ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,
-0.07324219,0.8808594,0.4550781,-0.1855469,-0.7856445,0.5839844,3,-9,-5,10,16,2,6,-2,-1,1,0,-4,-5,-2,-1,-1,86.8125,86.8125,86.8125,1.1875,1.1875,1.1875,6.631408,5.326324,9.364079,3.50773,5.29709,5.097865,,,,,,,,,,,
0.02441406,1.097656,0.534668,-0.1616211,-0.8134766,0.5966797,-3,23,8,11,-17,-3,0,0,0,-3,-3,-6,2,-7,-4,-3,12.5625,12.5625,12.5625,-6.6875,-6.6875,-6.6875,6.678468,5.301569,9.329303,3.502969,5.299662,5.104743,,,,,,,,,,,
-0.2294922,0.6811523,0.6225586,-0.1162109,-0.8208008,0.6508789,-1,20,2,-4,-1,-4,0,0,-2,-1,0,2,-1,-3,2,0,-33.4375,-33.4375,-33.4375,4.5,4.5,4.5,6.632425,5.270735,9.355412,3.507131,5.295134,5.11239,,,,,,,,,,,
-0.2246094,0.8203125,0.4951172,-0.1567383,-0.7290039,0.605957,7,-3,4,-10,42,0,2,3,-2,-2,1,0,2,8,-8,-1,17.3125,17.3125,17.3125,0.625,0.625,0.625,6.640117,5.25754,9.375354,3.516776,5.294727,5.115741,,,,,,,,,,,
-0.2192383,0.8398438,0.5288086,-0.1699219,-0.7480469,0.6308594,-5,-11,3,83,12,-2,-1,-2,-1,-1,-3,-1,-2,-1,3,3,-10.4375,-10.4375,-10.4375,-8.5625,-8.5625,-8.5625,6.641326,5.247934,9.377633,3.514074,5.292012,5.113816,,,,,,,,,,,
-0.21875,0.8022461,0.5170898,-0.2143555,-0.7636719,0.6166992,-3,-10,-2,-16,5,3,-1,1,1,0,-1,15,2,0,4,3,-8.0625,-8.0625,-8.0625,8.8125,8.8125,8.8125,6.635064,5.247778,9.372924,3.521168,5.284108,5.099271,,,,,,,,,,,
-0.1557617,0.90625,0.5161133,-0.199707,-0.7773438,0.5947266,0,-4,0,28,-13,-6,0,-1,0,-1,0,1,6,14,3,2,-0.4375,-0.4375,-0.4375,-2.3125,-2.3125,-2.3125,6.638949,5.252478,9.358515,3.523134,5.283525,5.099274,,,,,,,,,,,
-0.1669922,0.8505859,0.5083008,-0.1665039,-0.8178711,0.6386719,-4,-3,-4,-11,-1,3,0,0,-2,-1,4,4,-4,-7,-1,-2,-2.375,-2.375,-2.375,-0.875,-0.875,-0.875,6.634202,5.25261,9.355055,3.522116,5.280341,5.102755,,,,,,,,,,,
-0.1669922,0.8618164,0.5117188,-0.1538086,-0.7768555,0.6337891,1,7,-4,-2,-5,-1,-1,0,0,0,-1,-4,10,14,-1,1,3.875,3.875,3.875,4.3125,4.3125,4.3125,6.636144,5.252668,9.352255,3.529804,5.278354,5.103434,,,,,,,,,,,
-0.184082,0.8916016,0.5102539,-0.1503906,-0.7875977,0.6367188,-1,2,1,0,0,-3,-1,-3,-2,0,-2,1,0,7,-2,1,1.125,1.125,1.125,-3.3125,-3.3125,-3.3125,6.641346,5.252612,9.349509,3.53001,5.277207,5.099865,,,,,,,,,,,
-0.2021484,0.8139648,0.5161133,-0.1225586,-0.7792969,0.6157227,-1,6,1,4,-7,-1,-10,-6,0,0,-2,-1,-2,-9,-2,0,1.125,1.125,1.125,-0.5,-0.5,-0.5,6.635669,5.25686,9.341265,3.529566,5.271367,5.092469,,,,,,,,,,,
-0.1879883,0.8061523,0.5195313,-0.1357422,-0.7714844,0.5576172,-1,-2,-1,-3,-4,-2,6,-9,2,-2,-3,-1,-3,-1,-6,0,0.75,0.75,0.75,-0.1875,-0.1875,-0.1875,6.634211,5.257152,9.336194,3.52814,5.25527,5.094027,,,,,,,,,,,
-0.1879883,0.8061523,0.5195313,-0.1484375,-0.7016602,0.5537109,8,3,2,2,2,0,-11,20,-1,0,0,0,1,-2,-2,-4,0.75,0.75,0.75,-0.4375,-0.4375,-0.4375,6.634211,5.257152,9.336194,3.53122,5.22494,5.114718,,,,,,,,,,,
-0.2001953,0.7319336,0.4702148,-0.1743164,-0.6967773,0.4990234,-4,-2,3,-1,-2,0,4,-12,-1,-4,1,-2,-2,-2,-1,-1,-15.3125,-15.3125,-15.3125,-5.875,-5.875,-5.875,6.614934,5.224697,9.302635,3.52985,5.202169,5.133772,,,,,,,,,,,
-0.1396484,0.7192383,0.40625,0.01904297,-0.7885742,0.5478516,-2,1,0,-3,0,2,6,18,-6,-35,-23,1,1,4,4,3,-0.5,-0.5,-0.5,-12.9375,-12.9375,-12.9375,6.608235,5.159492,9.262099,3.502442,5.06707,5.217501,,,,,,,,,,,
-0.08105469,0.7836914,0.4453125,0.003417969,-0.6987305,0.5439453,-4,-2,-4,-2,-3,-2,2,-3,0,6,6,-5,-3,-4,-2,-1,-26.5,-26.5,-26.5,7.5625,7.5625,7.5625,6.588877,5.0453,9.219581,3.509767,4.947382,5.285556,,,,,,,,,,,
-0.05957031,0.6547852,0.4560547,0.09326172,-0.6523438,0.4775391,-1,-2,3,1,0,3,1,3,-5,6,18,6,-1,-8,-18,-6,-42.9375,-42.9375,-42.9375,-42.625,-42.625,-42.625,6.544191,4.884711,9.174664,3.474848,4.791922,5.365046,,,,,,,,,,,
0.2587891,0.5195313,0.5332031,0.324707,-0.7905273,0.5332031,1,2,1,0,-15,21,-12,33,7,3,-1,-2,-2,-1,-18,0,-5.1875,-5.1875,-5.1875,-39.75,-39.75,-39.75,6.531687,4.676366,9.124816,3.408355,4.610661,5.44177,,,,,,,,,,,
0.324707,0.7421875,0.4047852,0.3491211,-0.6870117,0.453125,-24,0,-1,4,14,19,2,0,-4,17,10,-2,-3,-4,-1,-1,54.375,54.375,54.375,-26.5,-26.5,-26.5,6.635293,4.333144,9.03621,3.357923,4.414446,5.518423,,,,,,,,,,,
0.574707,0.7978516,0.4199219,0.612793,-0.6679688,0.4829102,0,-1,0,1,-2,-3,0,-1,5,2,-1,-9,-2,-4,-4,-5,47.8125,47.8125,47.8125,-20,-20,-20,6.680934,4.209451,8.993372,3.302911,4.199698,5.591501,,,,,,,,,,,
0.59375,0.6142578,0.4604492,0.6328125,-0.625,0.3632813,1,-2,-1,-14,-17,-17,-10,-3,1,0,-4,-2,15,9,3,2,15.75,15.75,15.75,-33.75,-33.75,-33.75,6.751235,3.969334,8.909232,3.225118,3.982575,5.681718,,,,,,,,,,,
0.6567383,0.5625,0.3823242,1.009277,-0.6396484,0.355957,10,1,2,-1,3,1,1,-1,2,1,1,0,-5,-2,3,-2,29.875,29.875,29.875,-30.0625,-30.0625,-30.0625,6.796642,3.843324,8.862494,3.120195,3.761197,5.786268,,,,,,,,,,,
0.9672852,0.559082,0.2929688,0.9165039,-0.5571289,0.2729492,-5,1,-1,-1,-1,-3,1,0,-1,0,-1,-1,-2,-3,-4,-2,61.6875,61.6875,61.6875,-12.875,-12.875,-12.875,6.943936,3.60063,8.746301,3.024432,3.566091,5.892825,,,,,,,,,,,
1.106934,0.5449219,0.08984375,1.001465,-0.4848633,0.1899414,-18,-10,-4,0,-2,-2,-1,-5,0,-3,0,-2,-1,1,0,-2,5.4375,5.4375,5.4375,-19.0625,-19.0625,-19.0625,7.254755,3.28441,8.438609,2.887922,3.388345,6.035708,,,,,,,,,,,
1.14502,0.418457,-0.09667969,1.044434,-0.4921875,0.09179688,1,-2,-1,1,1,1,-3,1,0,-2,-1,-3,-1,-2,-1,-1,-36.75,-36.75,-36.75,-0.8125,-0.8125,-0.8125,7.51198,3.12797,8.119255,2.7175,3.241426,6.222714,,,,,,,,,,,
1.110352,0.3847656,-0.2490234,1.057617,-0.449707,0.01855469,5,1,0,2,1,2,1,15,-2,0,-1,-1,0,0,-2,-2,-32.1875,-32.1875,-32.1875,25.3125,25.3125,25.3125,7.80454,3.029985,7.767291,2.540391,3.128654,6.441161,,,,,,,,,,,
1.072754,0.3447266,-0.2231445,1.035156,-0.4057617,-0.04199219,-7,-3,-4,-2,0,1,0,-1,0,-2,1,1,-2,1,0,-2,-22.125,-22.125,-22.125,43.0625,43.0625,43.0625,8.061606,2.970902,7.470559,2.377741,3.049615,6.662281,,,,,,,,,,,
1.033203,0.2954102,-0.1279297,1.031738,-0.3666992,-0.04199219,-2,0,-2,-3,-1,-4,1,-5,-4,-2,-2,-2,-1,-2,0,1,-2.8125,-2.8125,-2.8125,45.0625,45.0625,45.0625,8.194366,2.933327,7.323138,2.256372,2.996165,6.84377,,,,,,,,,,,
0.9873047,0.28125,-0.01464844,1.004395,-0.3330078,0.009277344,-12,-3,-2,-3,-2,0,14,-72,-2,0,-1,-1,0,-1,-1,-3,25.4375,25.4375,25.4375,29.8125,29.8125,29.8125,8.190488,2.901143,7.347556,2.198008,2.957758,6.947091,,,,,,,,,,,
0.9248047,0.3520508,0.07861328,0.965332,-0.3583984,0.06201172,8,-1,0,0,0,-1,-2,11,-2,-2,-9,0,-1,-1,0,-3,43.8125,43.8125,43.8125,14.3125,14.3125,14.3125,8.084283,2.876717,7.49883,2.203083,2.93131,6.964156,,,,,,,,,,,
0.84375,0.4111328,0.1220703,0.9086914,-0.3769531,0.1025391,2,1,-2,-1,1,2,1,-14,0,-2,3,-3,0,-2,0,-1,1.8125,1.8125,1.8125,15.625,15.625,15.625,7.89758,2.866983,7.721138,2.25694,2.917847,6.928987,,,,,,,,,,,
0.8691406,0.3530273,0.08837891,0.8881836,-0.362793,0.09960938,-1,2,0,-1,-1,-2,2,8,-1,1,1,-1,-1,-1,-3,-4,-30.4375,-30.4375,-30.4375,15.1875,15.1875,15.1875,7.803901,2.868888,7.787305,2.308418,2.911639,6.896461,,,,,,,,,,,
0.9111328,0.2827148,0.02978516,0.8969727,-0.3666992,0.07763672,1,-1,-1,-3,-2,0,-1,-4,-1,-2,1,3,0,-1,-1,1,-34.25,-34.25,-34.25,16.0625,16.0625,16.0625,7.725492,2.870822,7.82581,2.331215,2.912732,6.883352,,,,,,,,,,,
0.9223633,0.2460938,0.01025391,0.9057617,-0.3515625,0.05761719,4,-2,0,-1,-2,1,-3,-9,-3,0,-1,-3,-2,0,1,-1,-24.0625,-24.0625,-24.0625,21.3125,21.3125,21.3125,7.699201,2.87131,7.83939,2.38285,2.921382,6.854549,,,,,,,,,,,
0.9863281,0.2446289,-0.04003906,0.9375,-0.3212891,-0.006347656,1,0,-3,1,-1,-4,0,-4,0,-1,0,-1,0,-1,-1,-3,3.3125,3.3125,3.3125,23,23,23,7.667457,2.875721,7.868804,2.433287,2.937043,6.829701,,,,,,,,,,,
