ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,
-0.1894531,0.8876953,0.4975586,-0.1738281,-0.8598633,0.5649414,-2,1,4,9,5,-3,-2,0,1,0,1,-2,0,2,-5,-2,-8.25,-8.25,-8.25,2.9375,2.9375,2.9375,6.686131,5.272156,1.100356,3.428062,5.236407,5.129735,,,,,
-0.1689453,0.8632813,0.5009766,-0.1845703,-0.8071289,0.5341797,0,-1,-4,-10,22,0,-4,-3,2,-2,-1,-3,-4,-1,4,0,-5.25,-5.25,-5.25,5.5625,5.5625,5.5625,6.675944,5.267293,1.094757,3.435636,5.237534,5.125981,,,,,
-0.2270508,0.8637695,0.4702148,-0.1655273,-0.8334961,0.5673828,-2,-3,5,11,0,0,-14,3,-3,-2,-5,-8,-1,-7,-1,0,4.875,4.875,4.875,-5.625,-5.625,-5.625,6.678749,5.265813,1.091944,3.432067,5.237364,5.129648,,,,,
-0.3833008,1.012695,0.246582,-0.1489258,-0.8393555,0.5703125,1,6,-2,1,3,2,3,2,1,-1,0,2,-6,-6,1,3,11,11,11,3.6875,3.6875,3.6875,6.697026,5.273779,1.097508,3.434708,5.235108,5.13365,,,,,
0.234375,0.7236328,0.90625,-0.1333008,-0.8251953,0.5703125,-2,-5,-3,3,-5,1,0,-3,-2,0,-1,4,3,1,-1,-3,-10.875,-10.875,-10.875,1.875,1.875,1.875,6.650844,5.249905,1.094414,3.439158,5.232587,5.134564,,,,,
0.05517578,1.072266,0.222168,-0.1264648,-0.8251953,0.5654297,2,4,-2,6,0,0,0,-1,-3,-1,-1,-2,0,-1,-1,-2,-0.0625,-0.0625,-0.0625,2.8125,2.8125,2.8125,6.641047,5.256092,1.09107,3.441367,5.230096,5.130245,,,,,
-0.06787109,0.6884766,0.7197266,-0.1181641,-0.8032227,0.5610352,2,1,0,0,-1,-4,1,-1,-3,-2,-2,-2,-1,-3,-5,1,-14.875,-14.875,-14.875,5,5,5,6.604728,5.24968,1.077254,3.447641,5.223314,5.12796,,,,,
-0.1733398,0.7636719,0.4897461,-0.0703125,-0.7470703,0.5532227,0,-1,0,-2,-2,2,0,-3,1,0,-2,-1,-1,-2,-2,0,-10.1875,-10.1875,-10.1875,6,6,6,6.593337,5.231086,1.057796,3.456998,5.20164,5.138252,,,,,
-0.2021484,0.6699219,0.453125,-0.1074219,-0.6938477,0.4804688,0,-1,-1,0,-1,2,0,0,-2,-2,1,-1,-2,0,-1,-2,-7.1875,-7.1875,-7.1875,2.1875,2.1875,2.1875,6.577093,5.195606,1.022207,3.465517,5.158702,5.15723,,,,,
-0.07714844,0.6303711,0.4243164,-0.08544922,-0.6899414,0.465332,-3,-3,-4,-2,0,-1,-1,-5,-1,-1,-3,-2,-1,-4,1,-2,14.5625,14.5625,14.5625,-13.3125,-13.3125,-13.3125,6.582056,5.103504,0.9715479,3.456728,5.086432,5.195199,,,,,
0.01318359,0.715332,0.4267578,0.03320313,-0.7773438,0.5263672,-1,-2,0,1,-7,1,-1,0,-1,-4,-1,-1,-3,-2,-13,1,16.6875,16.6875,16.6875,-11.625,-11.625,-11.625,6.602055,4.947844,0.9267778,3.441054,4.971757,5.246434,,,,,
0.1147461,0.703125,0.4316406,0.06884766,-0.7509766,0.5083008,0,-3,-5,-6,0,-1,-1,-1,1,0,-1,0,-2,-2,5,0,-17.625,-17.625,-17.625,16.1875,16.1875,16.1875,6.599073,4.74237,0.8838648,3.44901,4.827567,5.29781,,,,,
0.1699219,0.6586914,0.4682617,0.1738281,-0.7177734,0.4921875,6,5,13,1,1,1,1,-3,0,-1,-2,0,-1,-1,0,-3,-5.5,-5.5,-5.5,-7.0625,-7.0625,-7.0625,6.600903,4.628726,0.8577797,3.445893,4.654008,5.360013,,,,,
0.4428711,0.8388672,0.4150391,0.3632813,-0.7382813,0.5024414,-3,-1,-3,-2,-2,-1,0,0,-4,0,0,-1,-11,1,3,1,43.625,43.625,43.625,-24.125,-24.125,-24.125,6.657485,4.383562,0.7931734,3.401172,4.457917,5.430149,,,,,
0.4057617,0.6948242,0.4140625,0.4848633,-0.8442383,0.4291992,-1,-3,-2,-1,-2,0,-3,0,-1,-1,-1,3,5,3,1,0,-45.9375,-45.9375,-45.9375,-9.875,-9.875,-9.875,6.657896,4.034275,0.7261497,3.358686,4.246042,5.49247,,,,,
0.847168,0.5283203,0.3139648,0.6523438,-0.6733398,0.4257813,1,-1,-1,0,-1,-2,0,-2,2,-1,-2,-5,-1,-2,-6,-1,26.5625,26.5625,26.5625,23.9375,23.9375,23.9375,6.719311,3.790859,0.6411901,3.346409,4.032025,5.556713,,,,,
1,0.6660156,0.3349609,0.6708984,-0.6162109,0.394043,-3,-1,0,0,1,-2,-1,0,0,0,-3,12,17,-1,-4,-1,47.625,47.625,47.625,-0.3125,-0.3125,-0.3125,6.778659,3.682008,0.5949302,3.302257,3.82802,5.638627,,,,,
0.8466797,0.7436523,0.2172852,0.8447266,-0.6220703,0.3530273,0,-1,-1,2,-3,0,-1,-1,-5,-1,-3,-14,-13,-5,-3,-2,-10.1875,-10.1875,-10.1875,-9,-9,-9,6.869028,3.479833,0.4931323,3.215639,3.626852,5.743941,,,,,
0.9667969,0.472168,0.2138672,0.9179688,-0.5732422,0.234375,3,1,1,-2,-1,-2,-1,4,2,-2,-2,-4,-5,-2,5,1,-24.625,-24.625,-24.625,17.1875,17.1875,17.1875,6.974665,3.287183,0.3339712,3.128432,3.439177,5.871331,,,,,
1.015625,0.4750977,0.1791992,0.9746094,-0.5258789,0.1513672,13,-1,0,-2,-1,0,0,2,-1,0,0,0,-6,-3,-1,1,-15.875,-15.875,-15.875,5.75,5.75,5.75,7.065689,3.201806,0.2220524,2.976211,3.266909,6.057648,,,,,
1.088379,0.418457,-0.06640625,1.055176,-0.5083008,0.09130859,-37,-6,-3,0,-3,-2,-1,-8,-2,-1,-1,1,-1,-1,-6,-1,-23.5625,-23.5625,-23.5625,25.375,25.375,25.375,7.456051,3.011103,9.773591,2.763981,3.124313,6.313735,,,,,
1.074219,0.3481445,-0.1425781,1.069824,-0.3574219,-0.0078125,-19,0,0,4,-1,-5,-2,-1,-1,-1,-1,-3,-2,0,-4,-2,-23.75,-23.75,-23.75,50.9375,50.9375,50.9375,7.728753,2.94194,9.462313,2.529471,3.022811,6.619612,,,,,
1.040039,0.2919922,-0.1254883,1.059082,-0.2939453,-0.08789063,4,0,-2,4,-2,-2,1,2,1,1,-1,-3,0,-2,-6,-2,-3.1875,-3.1875,-3.1875,35.125,35.125,35.125,7.934441,2.89905,9.240149,2.291335,2.961569,6.915943,,,,,
1.006836,0.2895508,-0.05712891,1.021973,-0.3041992,-0.05615234,29,0,-1,-1,0,0,1,-1,3,-2,1,-6,-2,-1,1,0,25,25,25,12.5625,12.5625,12.5625,8.015331,2.872585,9.177135,2.114768,2.928436,7.12084,,,,,
0.9404297,0.3378906,0.02832031,1.021973,-0.3256836,-0.02441406,14,0,-2,-4,-1,-3,0,-24,-2,-2,-3,-2,-2,-2,2,-1,34.5625,34.5625,34.5625,6.375,6.375,6.375,7.961997,2.8571,9.269258,2.066446,2.917485,7.175243,,,,,
0.8730469,0.3828125,0.08935547,0.9667969,-0.3730469,0.04541016,-19,-1,-1,-1,-3,-3,-1,-3,-3,-4,-2,0,-2,-6,-22,-1,25,25,25,14.9375,14.9375,14.9375,7.845922,2.854351,9.418449,2.104074,2.904738,7.157786,,,,,
0.8574219,0.387207,0.09912109,0.9204102,-0.3647461,0.1142578,-4,-1,0,-2,-1,0,-3,2,-7,1,-1,2,-1,1,2,3,-3.9375,-3.9375,-3.9375,18.4375,18.4375,18.4375,7.74042,2.861731,9.528487,2.223548,2.908586,7.059253,,,,,
0.8520508,0.3588867,0.08056641,0.8959961,-0.3852539,0.1044922,15,5,0,-3,-4,-2,0,7,-1,-2,-1,0,0,-1,4,-4,-14.3125,-14.3125,-14.3125,15.5,15.5,15.5,7.704144,2.865776,9.556458,2.280679,2.914687,7.010609,,,,,
0.9150391,0.293457,-0.000976563,0.8916016,-0.3881836,0.08105469,8,-2,-3,-1,-1,-1,1,-2,-2,-5,-1,-4,-1,-1,-6,0,-28.3125,-28.3125,-28.3125,22.9375,22.9375,22.9375,7.640576,2.883503,9.57755,2.373888,2.934647,6.939937,,,,,
0.9516602,0.2290039,-0.05029297,0.9223633,-0.3505859,0.03320313,2,-3,-1,1,1,-2,-2,2,-1,0,-2,-4,-1,0,-1,-3,-5.6875,-5.6875,-5.6875,32.25,32.25,32.25,7.62157,2.892007,9.583116,2.455689,2.96051,6.890998,,,,,
0.9516602,0.2290039,-0.05029297,0.9404297,-0.3325195,0.01513672,2,-3,-1,1,1,-2,-2,2,-1,0,-2,-4,-1,0,-1,-3,-5.6875,-5.6875,-5.6875,35,35,35,7.62157,2.892007,9.583116,2.495571,2.973396,6.869851,,,,,
0.9892578,0.2573242,-0.05615234,0.9428711,-0.3222656,0.00390625,-34,-7,-4,-2,1,1,-4,-4,1,-3,-1,-1,0,0,-2,1,7.75,7.75,7.75,34.3125,34.3125,34.3125,7.608133,2.905194,9.604988,2.532895,2.986377,6.850827,,,,,
0.9638672,0.25,-0.04833984,0.9716797,-0.3056641,-0.02978516,21,3,1,2,1,0,0,1,1,-2,-1,-2,-2,-1,0,5,2.5,2.5,2.5,25.3125,25.3125,25.3125,7.569645,2.919909,9.650546,2.591109,3.012561,6.821147,,,,,
0.9423828,0.2387695,-0.03222656,0.9760742,-0.300293,-0.04785156,2,-2,-1,28,0,2,3,-4,-2,-3,0,1,-2,-1,1,2,4.4375,4.4375,4.4375,10.0625,10.0625,10.0625,7.52725,2.934933,9.699316,2.667706,3.051496,6.763716,,,,,
