ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
-0.2128906,0.796875,0.5712891,-0.1201172,-0.8378906,0.6083984,14,-3,-1,7,2,-2,-2,6,-1,-3,-3,0,-5,-9,-2,-2,-79.1875,-79.1875,-79.1875,-6.1875,-6.1875,-6.1875,6.645948,5.129308,1.048825,3.433965,5.229158,5.145869
-0.3544922,0.809082,0.4736328,-0.1665039,-0.8442383,0.6049805,23,6,3,-1,6,-4,1,1,1,2,2,1,3,15,-1,-2,-22.5,-22.5,-22.5,4.5625,4.5625,4.5625,6.606212,5.210329,1.035702,3.437977,5.216381,5.139138
-0.3510742,0.8447266,0.4663086,-0.1923828,-0.824707,0.5834961,4,-3,-4,-9,1,6,-12,3,-1,-2,1,-2,-2,-5,0,-1,-14.5625,-14.5625,-14.5625,4.0625,4.0625,4.0625,6.597769,5.249797,1.017275,3.44402,5.217786,5.130702
-0.2436523,0.7143555,0.4477539,-0.1977539,-0.8383789,0.5561523,1,8,3,56,6,-6,-20,-4,-2,-2,-2,0,2,3,0,-2,15.25,15.25,15.25,5.75,5.75,5.75,6.586336,5.316449,0.9307199,3.448861,5.228095,5.125945
-0.1206055,0.8813477,0.4038086,-0.168457,-0.8432617,0.5556641,-34,2,12,-11,-2,-7,0,-7,-2,-2,-1,-5,-4,-4,-5,-2,71.8125,71.8125,71.8125,4.5625,4.5625,4.5625,6.651035,5.321842,0.8832683,3.453802,5.237679,5.126889
-0.06298828,0.9609375,0.5258789,-0.1547852,-0.8364258,0.546875,4,12,6,36,0,-2,-3,2,-2,-3,-1,-4,-5,0,0,2,49.375,49.375,49.375,3.4375,3.4375,3.4375,6.677518,5.308392,0.8746716,3.455244,5.241241,5.128845
-0.2319336,0.7441406,0.6083984,-0.1318359,-0.8681641,0.5932617,0,14,2,6,10,5,10,-3,1,0,1,0,-2,1,1,5,-19.8125,-19.8125,-19.8125,-1.625,-1.625,-1.625,6.649549,5.258202,0.9007437,3.449869,5.241812,5.135315
-0.262207,0.8862305,0.4785156,-0.1547852,-0.7988281,0.5683594,3,5,4,13,-17,2,2,3,-1,-1,-6,-4,-2,-3,9,1,-1.8125,-1.8125,-1.8125,3.125,3.125,3.125,6.647337,5.252773,0.908547,3.455841,5.243745,5.139482
-0.2587891,0.8525391,0.4785156,-0.1738281,-0.8212891,0.5620117,-3,-9,-3,-26,-4,1,-4,-3,-1,-3,0,0,-1,4,-3,-1,5.875,5.875,5.875,-6,-6,-6,6.650919,5.258503,0.9013132,3.451759,5.243798,5.137691
-0.2172852,0.878418,0.5146484,-0.1894531,-0.8369141,0.5673828,-3,-12,-3,9,21,-1,-2,-1,-1,-3,-4,-4,-2,-1,1,-3,-2.1875,-2.1875,-2.1875,0.8125,0.8125,0.8125,6.65297,5.257989,0.8970304,3.449969,5.242809,5.133479
-0.1850586,0.8237305,0.5161133,-0.1513672,-0.8193359,0.5556641,-9,-7,4,1,2,-3,-3,4,-2,-1,-2,-2,2,-1,-3,-2,-4,-4,-4,-2.9375,-2.9375,-2.9375,6.644181,5.255232,0.8939403,3.44921,5.240717,5.135641
-0.1811523,0.8457031,0.5200195,-0.1552734,-0.8369141,0.5878906,-1,-3,-5,-7,-21,-6,-1,-1,0,-3,0,0,1,1,-1,0,5.3125,5.3125,5.3125,-5.0625,-5.0625,-5.0625,6.646336,5.25453,0.8934091,3.444579,5.238433,5.140141
-0.2006836,0.8881836,0.5112305,-0.1420898,-0.8076172,0.5810547,0,0,-5,3,3,-2,-1,-2,-1,0,0,-2,1,1,-4,0,-5.6875,-5.6875,-5.6875,2.75,2.75,2.75,6.649943,5.251059,0.8951102,3.448707,5.235535,5.143209
-0.1870117,0.8520508,0.5131836,-0.1337891,-0.7885742,0.5737305,-1,-7,-1,-5,4,1,-1,-4,-3,-1,-1,-3,-1,-2,-1,-1,2.25,2.25,2.25,1.9375,1.9375,1.9375,6.64881,5.251955,0.8940049,3.45409,5.231944,5.145594
-0.1870117,0.8554688,0.5097656,-0.109375,-0.7827148,0.5751953,0,-4,-2,-15,0,-2,1,-1,-1,-1,-2,-1,-2,-1,1,-1,2.625,2.625,2.625,0.4375,0.4375,0.4375,6.649958,5.253073,0.8923042,3.455916,5.226593,5.14783
-0.1801758,0.7749023,0.4995117,-0.1098633,-0.7402344,0.5073242,-3,-6,-3,0,-2,-2,-3,-5,1,-2,2,-1,-1,0,-3,-1,-5.25,-5.25,-5.25,4.125,4.125,4.125,6.638722,5.250712,0.8831616,3.46457,5.191415,5.160838
-0.1728516,0.7646484,0.4736328,-0.08447266,-0.7407227,0.4941406,-2,0,1,-1,-2,-2,-1,-2,-1,-1,-5,-10,-2,-3,-4,-3,-5,-5,-5,-0.625,-0.625,-0.625,6.634435,5.243582,0.8757463,3.464687,5.166516,5.170314
-0.2167969,0.7202148,0.4541016,-0.05517578,-0.7416992,0.5351563,1,-2,-1,1,0,1,-1,3,0,-1,-2,-2,0,-2,3,2,-6.5625,-6.5625,-6.5625,11.3125,11.3125,11.3125,6.623143,5.214748,0.848555,3.475426,5.09657,5.193815
-0.05761719,0.6757813,0.4384766,-0.03662109,-0.7045898,0.5180664,1,1,0,-7,-2,-6,1,2,1,0,-1,-1,0,3,10,3,-15.1875,-15.1875,-15.1875,-1.6875,-1.6875,-1.6875,6.600497,5.06893,0.7915145,3.48301,5.006332,5.233083
-0.06152344,0.6669922,0.4492188,0.01757813,-0.7402344,0.5063477,14,-1,-3,-18,-4,-2,0,-1,-1,0,-1,1,-2,-2,8,-1,-15.4375,-15.4375,-15.4375,-26.6875,-26.6875,-26.6875,6.59142,4.992723,0.7722133,3.456377,4.887957,5.286857
0.1005859,0.7143555,0.4448242,0.09228516,-0.8569336,0.46875,18,-1,-2,-3,-1,1,-1,2,-2,-1,1,-2,0,-1,5,0,0.9375,0.9375,0.9375,-17.0625,-17.0625,-17.0625,6.59013,4.805016,0.7252837,3.424223,4.73672,5.346134
0.1933594,0.684082,0.4926758,0.2758789,-0.7226563,0.5029297,9,0,-3,-3,-2,-2,0,2,1,-1,1,-2,-9,-2,-2,-5,-10.6875,-10.6875,-10.6875,30,30,30,6.588177,4.702008,0.6974924,3.433901,4.563239,5.403206
0.4482422,0.6821289,0.4091797,0.3925781,-0.5927734,0.4643555,2,1,0,3,0,-1,-1,2,-3,-2,4,1,-1,-2,0,0,36,36,36,-17.3125,-17.3125,-17.3125,6.637729,4.36187,0.6189131,3.409652,4.363517,5.464529
0.5795898,0.7446289,0.4477539,0.5571289,-0.7509766,0.4824219,-2,0,0,5,1,-2,1,3,-2,-1,-4,-1,2,-3,-23,-5,16.4375,16.4375,16.4375,-33.1875,-33.1875,-33.1875,6.678947,4.127877,0.5831555,3.343826,4.160958,5.528202
0.5795898,0.7446289,0.4477539,0.5571289,-0.7509766,0.4824219,-2,0,0,5,1,-2,1,3,-2,-1,-4,-1,2,-3,-23,-5,16.4375,16.4375,16.4375,-33.1875,-33.1875,-33.1875,6.678947,4.127877,0.5831555,3.343826,4.160958,5.528202
0.5380859,0.7001953,0.4384766,0.6660156,-0.7597656,0.3979492,-42,-6,-1,26,2,0,-1,-3,0,0,-1,0,1,0,-1,-1,17.25,17.25,17.25,-25.625,-25.625,-25.625,6.698711,4.008185,0.5640619,3.272791,3.957966,5.604185
0.8706055,0.65625,0.3608398,0.8208008,-0.7075195,0.3691406,-7,-1,-1,7,-1,-6,-1,-1,-1,-2,-2,0,-1,-1,2,1,37.0625,37.0625,37.0625,29.5,29.5,29.5,6.825438,3.649366,0.4633128,3.236439,3.762567,5.686915
0.9350586,0.5957031,0.2353516,0.809082,-0.5444336,0.2963867,-8,-1,0,2,-3,1,0,-2,-2,-2,-3,-6,-4,-4,-6,-5,18.125,18.125,18.125,23.75,23.75,23.75,6.954082,3.431725,0.3362933,3.189662,3.578261,5.79149
1.053711,0.5600586,0.1523438,0.9570313,-0.5737305,0.2314453,9,1,-2,3,0,1,2,1,-1,-2,1,-5,-6,-1,4,-2,11.25,11.25,11.25,5.75,5.75,5.75,7.029133,3.331061,0.2558075,3.089101,3.408879,5.92826
1.106934,0.4423828,-0.004882813,0.9951172,-0.5444336,0.1484375,1,0,-1,-2,0,-2,-2,1,1,-1,-2,-3,-2,-2,-3,-1,-13,-13,-13,20,20,20,7.310394,3.089679,9.936646,2.9701,3.264753,6.085987
1.118652,0.3891602,-0.06982422,1.017578,-0.4501953,0.07519531,-1,2,0,2,-1,-2,-3,0,-2,-1,-2,-2,-4,-2,-7,0,-15.875,-15.875,-15.875,24.5625,24.5625,24.5625,7.551986,2.991889,9.664148,2.827452,3.150454,6.272826
1.075684,0.3911133,-0.1225586,1.025391,-0.3979492,0.03515625,5,1,0,1,-1,-2,1,-3,-1,0,-1,-2,-3,-3,-1,0,-14.9375,-14.9375,-14.9375,14.8125,14.8125,14.8125,7.660151,2.962442,9.543063,2.662653,3.066555,6.470885
0.9658203,0.331543,-0.06152344,0.9990234,-0.3823242,0.02978516,1,-1,-2,0,-5,-5,1,3,-1,-1,1,2,-3,-2,-2,-1,2.1875,2.1875,2.1875,11.875,11.875,11.875,7.843678,2.907212,9.342104,2.523347,3.01178,6.633451
0.9169922,0.3833008,0.01855469,1.010742,-0.3798828,0.03222656,-3,-3,-1,-2,-1,1,-1,-3,-1,-1,-4,-3,-2,-3,-1,-3,17.5,17.5,17.5,12.5625,12.5625,12.5625,7.86937,2.893874,9.332584,2.436112,2.978922,6.739801
0.8950195,0.4174805,0.05615234,0.9765625,-0.3774414,0.06054688,2,0,0,1,0,1,-1,-4,0,-1,-1,4,-3,1,-1,-2,6.3125,6.3125,6.3125,7.5625,7.5625,7.5625,7.853038,2.893797,9.351968,2.409312,2.960367,6.781092
0.8828125,0.3574219,0.08154297,0.9316406,-0.3754883,0.06298828,1,2,1,0,-4,-6,1,-1,1,0,0,4,-2,-2,2,2,-31,-31,-31,9.1875,9.1875,9.1875,7.782516,2.902204,9.383602,2.423811,2.953766,6.778134
